composer,date_of_birth,birth_town,birth_country,date_of_death,death_town,death_country,nationality
Pierre Bonnet,,,,,,,France
Jacques Champion de Chambonnières,1602.0,,,1672.0,Paris,France,France
Sauvage,,,,,,,
Joachim-Thibault de Courville,1530.0,Paris,France,1581.0,Paris,,France
Henri de Bailly,,,,1637.0,,,France
Jacques Salmon or Pierre Bonnet,,,,,,,France
Jacques Le Fevre,,,,,,,France
Paul Auget,1592.0,Pontoise,France,1660.0,Paris,France,France
Grand-Rue,,,,,,,
François le Fégueux,,,,,,,France
Coffin,,,,,,,
Jean-Baptiste Besard,1567.0,BesanÃ§on,France,1617.0,Augsburg,Germany,France
Vincenzo Pinti,,,,,,,Italy
Diomedes Cato,1570.0,,,1607.0,,,Italy
Jacques Edinthon,,,,,,,
Giovanni Maffon,,,,,,,Italy
Albert Dlugorai,,,,,,,Poland
Matthäus Waissel,1537.0,Bartoszyce,Poland,1602.0,Kaliningrad,Russia,Germany
Luca Marenzio,1553.0,Coccaglio,Italy,1599.0,Roma,Italy,Italy
Pomponio da Bologna,,,,,,,Italy
Jean Perrichon,,,,,,,France
Victor de Montbuisson,,,,,,,France
Guillaume de Vaumesnil,1525.0,,,1611.0,,,France
Dominico Bianchini,1510.0,,,1576.0,,,Italy
Francescho Bianchini,,,,,,,Italy
Thomas Campion,1567.0,London,England,1620.0,London,England,England
Marco dall'Aquila,1480.0,L'Aquila,Italy,1538.0,,,Italy
Ludwig Iselin,,,,,,,
Bonifacius Amerbach,1495.0,Basel,Switzerland,1562.0,Basel,,Switzerland
Julius Bischoff,,,,,,,
Richard Green,,,,,,,England
Heinrich Isaac,1450.0,Brabant,Netherlands,1517.0,Firenze,Italy,Netherlands
Petrus Fabricius,1587.0,,,1651.0,,,Germany
Matthias Greiter,1495.0,Aichach,Germany,1550.0,Strassbourg,,Germany
Martin Luther,1483.0,Eisleben,Germany,1546.0,Eisleben,Germany,Germany
Elizabeth Cruciger,,,,,,,
Domenico Bianchini,,,,,,,Italy
Tobias Stemis,,,,,,,
William Corkine,1610.0,,England,1612.0,,,England
Nani di Milan,,,,,,,
Vincenzo Bernia,,Bologna,Italy,1617.0,,,Italy
René Saman,,,,,,,France
Jacques Gaultier,1595.0,,France,1637.0,London,England,France
John Sturt,,,,,,,England
Oswald von Wolkenstein,1377.0,Tyrol,Austria,1445.0,Merano,,Italy
Georg de Putenheim,,,,,,,
Juden zu Maintz,,,,,,,
Ulrich Zwingli,1484.0,Wildhaus,,1531.0,Cappel,,
Ippolito Tromboncino,,,,,,,
Giovanni Battista Domenico,,,,,,,Italy
Antonio Scandello,1517.0,Bergamo,Italy,1580.0,Dresden,Germany,Italy
Johan Pistre,,,,,,,
Johannes Rude,1555.0,,,1615.0,,,Germany
Valentin Strobel,1575.0,,,1640.0,,,Germany
Antoine Francisque,1575.0,St Quentin,France,1605.0,Paris,,France
Paolo d'Aragona,,,,1616.0,,,
Robert Ballard?,,,,,,,
Tuenhuisen,,,,,,,
Giovanni Kapsberger,1580.0,Venice,Italy,1651.0,Rome,,Italy
Pietro Paolo Melli,1579.0,Reggio Emilia,Italy,1623.0,Reggio Emilia,,Italy
Raphael de Viola,,,,,,,
Benedictus Thiselius,,,,,,,
Joachim Heller,1518.0,,,1590.0,,,Germany
Johan Groi,,,,,,,
Jacob Lossius,,,,,,,England
Heinrich Steucius,,,,,,,
Valentin Haussmann,1560.0,Gerbstedt,Germany,1612.0,Gerbstedt,,Germany
Valerius Otto,1579.0,Leipzig,Germany,1612.0,,,Germany
Fascius,,,,,,,
Matthäus Reimann,,,,,,,
